Site,Gorge,Site Nickname,Discoverer,Date of Discovery,Publication,ISBN 10,Site Pager,Number of Figures,Figure Category,Distance to next Site,Next Site,Cardinal Points,Painting Location,Water in Sight,Water Availability,Open Field in Sight,Open Field,Living Place,Spatiality,Visibility,Context,View from Site,Evidence of Human Occupation,Degradation of Paintings,Quantity of Artefacts,Lithics,Pottery,O.E.S.,Bone,Charcoal,Grinding Implements,Stone Structures,Miscellenous Artefact,Remarks
I 79,Naib,,Paulus,19.02.1982,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 26,2,5,294.2844,I 80,N,1,,<300m,,<300m,� vertical rock,6,<3m,isolated,magnificent,none,none,few,few,none,none,none,none,none,none,none,
I 80,Naib,�Giant Kudu�,Shipahu,13.02.1982,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 27,9,5,150.9511,I 81,N,5; 6,,<300m,,>300m,spacious,9,<15m,marginal,rather nice,none,none,few,few,none,none,none,few,none,none,none,
I 81,Naib,,Shipahu,13.02.1982,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 28,6,2,150.9511,I 80,E,5,True,within shouting distance,,<300m,unfavourable,13,<1m,central,rather nice,none,water run-off,few,few,none,few,none,none,none,none,none,
I 82,Naib,,Shipahu,13.02.1982,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 29,41,4,106.8144,I 83,N,5; 9; 10,,<300m,,within shouting distance,unfavourable,5,<3m,marginal,rather nice,none,disintegration of rock; water run-off; vegetation impact,none,none,none,none,none,none,none,none,none,
I 83,Naib,,Paulus,13.02.1982,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 30,12,4,106.8144,I 82,E,1,,<300m,True,adjacent,� vertical rock,0,<15m,marginal,rather nice,none,water run-off,few,few,none,none,none,none,none,none,none,
I 84,Naib,,Shipahu,19.02.1982,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 31,5,3,155.8836,I 85,SW,5,,>300m,,>300m,unfavourable,4,<3m,isolated,magnificent,none,water run-off,none,none,none,none,none,none,none,none,none,
I 85,Naib,,Paulus,06.03.1982,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 32,11,4,155.8836,I 84,NE,5,,>300m,,>300m,unfavourable,4,<3m,isolated,poor,none,none,few,few,none,none,none,none,none,none,none,
I 86,Naib,,Shipahu,19.02.1982,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 33,11,6,574.2297,I 85,N,3; 4; 10,,>300m,,<300m,unfavourable,20,<15m,isolated,magnificent,none,water run-off,few,few,none,none,none,none,none,none,none,
I 87,Naib,,Jipsen,July 63,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 115,97,4,36138,I 99,NE; SW; NW,1; 2; 12,,<300m,,<300m,� vertical rock,5,>15m,central,poor,none,water run-off,few,few,few,none,none,none,none,none,iron wire,
I 88,Naib,,Matheus,07.05.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 135,129,3,330.8005,I 90,SE,3; 4; 5; 6; 8; 10; 11,,>300m,,>300m,spacious,3,<15m,isolated,magnificent,none,disintegration of rock; water run-off; vegetation impact,few,few,none,none,none,none,none,none,none,
I 89,Naib,,Shipahu,22.02.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 109,5,6,54491,I 90,W,5,,<300m,,>300m,unfavourable,6,<3m,marginal,rather nice,none,water run-off,none,none,none,none,none,none,none,none,none,
I 90,Naib,,Shipahu,22.02.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 108,3,4,54491,I 89,SW,1,,>300m,True,adjacent,� vertical rock,5,<3m,central,rather nice,none,water run-off,none,none,none,none,none,none,none,none,none,
I 91,Naib,,Shipahu,02.10.1980,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 107,7,3,67.2184,I 89,S,5,,<300m,,>300m,unfavourable,10,<3m,marginal,poor,none,water run-off,none,none,none,none,none,none,none,none,none,
I 92,Naib,,Matheus,10.02.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 106,1,5,109.6276,I 91,SW,5,,<300m,,>300m,spacious,15,<1m,marginal,rather nice,none,water run-off,few,none,none,none,none,few,none,none,none,
I 93,Naib,,Shipahu,20.02.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 110,2,4,33067,I 95,SW,5,,<300m,,<300m,unfavourable,3,<3m,central,poor,none,water run-off,few,few,none,none,none,none,none,none,none,
I 94,Naib,,Jipsen,July 63,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 111,4,4,34.4469,I 93,N,5; 8,,<300m,,<300m,unfavourable,8,<3m,central,rather nice,none,water run-off,none,none,none,none,none,none,none,none,none,
I 95,Naib,,Shipahu,10.02.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 105,13,4,33067,I 93,SW,5,,<300m,True,adjacent,unfavourable,2,<3m,marginal,rather nice,none,water run-off,few,few,none,none,none,none,none,none,none,
I 96,Naib,,Jipsen,July 63,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 104,20,5,84.4682,I 95,S,5,,<300m,,>300m,unfavourable,5,<15m,marginal,rather nice,Pager's Camp,none,few,few,few,none,none,few,none,none,none,
I 97,Naib,,Shipahu,20.02.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 103,5,3,92.5956,I 96,N,3,,<300m,True,within shouting distance,unfavourable,0,<15m,marginal,rather nice,none,water run-off,few,none,few,none,none,none,none,none,none,
I 98,Naib,,Shipahu,21.02.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 113,3,3,61.2921,I 99,NE,1,,<300m,,>300m,� vertical rock,2,<3m,marginal,poor,none,water run-off,none,none,none,none,none,none,none,none,none,
I 99,Naib,,Shipahu,21.02.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 114,1,3,36138,I 87,SE,1,,<300m,,>300m,� vertical rock,0,<3m,marginal,rather nice,none,water run-off,none,none,none,none,none,none,none,none,none,
I 100,Naib,�Lempp Grottoes�,Lempp,1957/ 58,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 112,275,5,180.6454,I 94,NW,5; 9; 10; 11,True,within shouting distance,,>300m,spacious,69,<15m,marginal,rather nice,Fireplace and Pager's Camp,water run-off,masses,masses,masses,masses,none,masses,few,none,various organic material,
I 101,Naib,,Shipahu,11.03.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 116,1,4,43.9064,I 102,SE,1,,<300m,,>300m,� vertical rock,0,<1m,central,poor,none,water run-off,none,none,none,none,none,none,none,none,none,
I 102,Naib,,Shipahu,12.02.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 117,6,5,43.9064,I 101,SW,1,True,adjacent,,>300m,� vertical rock,0,<3m,central,poor,none,water run-off,few,few,few,none,none,none,none,none,none,
I 103,Naib,,Matheus,18.02.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 118,100,4,52.1625,I 102,N; SW,1; 4; 6; 9; 10; 12,True,within shouting distance,True,within shouting distance,unfavourable,9,<15m,marginal,rather nice,none,water run-off; vegetation impact,few,few,few,few,none,none,none,none,none,
I 104,Naib,,Matheus,18.02.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 119,13,4,69.9288,I 105,SW,1; 12,,within shouting distance,True,within shouting distance,� vertical rock,1,<15m,central,poor,none,water run-off,none,none,none,none,none,none,none,none,none,
I 105,Naib,,Shipahu,12.02.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 120,22,5,36.1943,I 106,S; W; NW,1; 5; 12,,<300m,True,adjacent,unfavourable,7,<3m,central,rather nice,none,disintegration of rock; water run-off,many,many,many,many,none,many,few,none,none,
I 106,Naib,,Shipahu,12.02.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 121,8,3,36.1943,I 105,E,5,,<300m,,>300m,unfavourable,3,<3m,central,poor,none,water run-off,none,none,none,none,none,none,none,none,none,
I 107,Naib,,Shipahu,18.02.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 122,101,4,56.6486,I 106,N; S,1; 2,,<300m,,>300m,� vertical rock,1,<15m,marginal,poor,none,water run-off,few,few,none,none,none,none,none,none,none,
I 108,Naib,,Matheus,11.03.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 123,23,4,60.3544,I 109,N,1; 12,,>300m,True,adjacent,� vertical rock,3,>15m,isolated,rather nice,none,water run-off,few,few,few,few,none,none,none,none,none,
I 109,Naib,,Matheus,11.03.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 124,4,4,60.3544,I 108,SW,1,,within shouting distance,True,adjacent,� vertical rock,0,<15m,marginal,rather nice,none,water run-off,none,none,none,none,none,none,none,none,none,
I 110,Naib,,Matheus,11.03.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 125,41,2,120.5125,I 112,NW,3; 4; 5; 8,True,adjacent,True,adjacent,unfavourable,7,<15m,marginal,rather nice,none,disintegration of rock; water run-off,few,few,none,few,none,none,none,none,NA,
I 111,Naib,,Matheus,11.03.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 127,22,3,57.4406,I 112,SW,1,,>300m,True,adjacent,� vertical rock,2,<15m,central,rather nice,none,water run-off,few,few,none,none,none,none,none,none,none,
I 112,Naib,,Matheus,11.03.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 126,8,6,57.4406,I 111,N,1,,>300m,True,adjacent,� vertical rock,0,<15m,isolated,rather nice,none,water run-off,few,few,none,none,none,none,none,none,none,
I 113,Naib,,Matheus,13.03.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 128,105,4,45.5197,I 114,SW,5; 6; 8,,>300m,True,within shouting distance,unfavourable,5,<15m,central,rather nice,none,water run-off,medium quantity,medium quantity,none,none,none,none,none,none,none,
I 114,Naib,,Matheus,13.03.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 129,60,6,45.5197,I 113,E; S,1; 3; 4; 5; 7; 8; 12,,>300m,True,<300m,unfavourable; � vertical rock,10,<15m,central,rather nice,Pager's Camp,water run-off,many,many,many,many,none,none,none,none,wooden spoon,
I 115,Naib,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 131,27,5,78.9348,I 114,N; E; S,5; 7; 8,,<300m,True,<300m,unfavourable; � vertical rock,16,<3m,marginal,magnificent,none,water run-off,many,many,many,many,none,many,none,none,none,
I 116,Naib,,Matheus,23.03.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 130,44,5,82.9782,I 113,SE,1,,>300m,,<300m,� vertical rock,0,<15m,marginal,rather nice,none,water run-off,few,few,none,none,none,none,none,none,none,
I 117,Naib,,Shipahu,18.03.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 134,8,4,269.1256,I 119,S,5,,>300m,True,within shouting distance,unfavourable,6,<15m,isolated,magnificent,none,water run-off,medium quantity,medium quantity,none,none,none,none,none,none,none,
I 118,Naib,,Matheus,11.03.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 132,27,5,112.2861,I 115,NE,1,,>300m,True,within shouting distance,� vertical rock,0,<15m,isolated,rather nice,none,water run-off,few,few,none,none,none,none,none,none,none,
I 119,Naib,,Shipahu,11.03.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 133,29,3,147.5956,I 120,SW,5; 6,,<300m,True,<300m,unfavourable,2,<3m,isolated,rather nice,none,water run-off,none,none,none,none,none,none,none,none,none,
I 120,Naib,,Shipahu,14.05.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 142,9,6,147.5956,I 119,NE,1; 12,,<300m,True,adjacent,� vertical rock,0,<15m,isolated,rather nice,none,water run-off,few,few,none,none,none,none,none,none,none,
I 121,Naib,,Shipahu (relocated),17.09.1980,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 1,152,1,207.5846,I 122,E; S,1; 5; 7; 8; 9; 10; 12,,>300m,True,adjacent,unfavourable,15,<15m,isolated,magnificent,Fireplace and Pager's Camp,water run-off,medium quantity,medium quantity,medium quantity,medium quantity,none,none,none,none,none,
I 122,Naib,,Shipahu,17.09.1980,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 2,20,4,207.5846,I 121,SE; NW,7; 8,,>300m,True,adjacent,unfavourable,4,<15m,isolated,rather nice,none,water run-off,few,few,none,none,none,none,none,none,none,
I 123,Naib,,Walter,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 95,49,5,178.2572,I 124,NW,4; 5,,>300m,,<300m,unfavourable,6,<15m,isolated,poor,none,water run-off,few,few,none,none,none,none,none,none,none,
I 124,Naib,,Shipahu,11.02.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 96,26,4,178.2572,I 123,SW,8,,>300m,,>300m,unfavourable,10,<3m,isolated,rather nice,none,water run-off,none,none,none,none,none,none,none,none,none,
I 125,Naib,,Matheus,11.02.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 97,230,5,178.7334,I 124,N; E; S; W,1; 2; 5; 8,,>300m,True,adjacent,unfavourable; � vertical rock,2,>15m,isolated,rather nice,none,water run-off,medium quantity,medium quantity,medium quantity,none,none,none,none,none,none,
I 126,Naib,,Matheus,11.02.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 98,1,6,102.8224,I 127,S,1,,>300m,True,adjacent,� vertical rock,0,<15m,marginal,rather nice,none,none,none,none,none,none,none,none,none,none,none,
I 127,Naib,,Matheus,11.02.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 99,60,6,102.8224,I 126,N; E; NW,1; 4; 5; 6; 7; 8; 10; 12,,>300m,True,adjacent,unfavourable; � vertical rock,18,<15m,marginal,poor,Pager's Camp,water run-off,many,many,many,many,none,many,none,none,none,
I 128,Naib,,Shipahu,11.02.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 102,58,5,44.2333,I 129,S,4; 5; 6,,within shouting distance,True,<300m,unfavourable,5,<1m,marginal,rather nice,none,water run-off; vegetation impact,few,few,none,none,none,none,none,none,none,
I 129,Naib,,Shipahu,11.02.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 101,1,6,44.2333,I 128,W,6,,within shouting distance,,<300m,unfavourable,3,<1m,marginal,rather nice,none,water run-off,none,none,none,none,none,none,none,none,none,
I 130,Naib,,Shipahu,11.02.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 100,8,2,99.2016,I 129,NE; NW,1; 12,,within shouting distance,True,adjacent,� vertical rock,0,<3m,marginal,rather nice,none,water run-off,few,few,none,none,none,none,none,none,none,
I 131,Naib,,Shipahu,11.03.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 138,7,5,55.2959,I 133,N; E,1; 12,,within shouting distance,,within shouting distance,unfavourable,10,<15m,central,rather nice,none,water run-off,few,few,none,none,none,none,none,none,none,
I 132,Naib,,Shipahu,11.03.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 137,8,6,59.4033,I 131,NE,4; 5,True,within shouting distance,,<300m,unfavourable,9,<3m,marginal,rather nice,none,water run-off,few,few,none,none,none,none,none,none,none,
I 133,Naib,,Shipahu,11.03.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 136,172,3,55.2959,I 131,N,1; 3; 4; 5; 7; 8; 12,True,within shouting distance,True,within shouting distance,unfavourable,13,<15m,marginal,rather nice,Pager's Camp,water run-off,medium quantity,medium quantity,none,none,none,none,none,none,none,
I 134,Naib,,Shipahu,11.03.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 139,42,5,125.5411,I 136,N; SE; W,1; 12,,>300m,True,adjacent,� vertical rock,4,<15m,marginal,rather nice,none,water run-off,few,few,few,none,none,none,none,none,none,
I 135,Naib,,Matheus,14.05.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 141,60,5,72.3853,I 136,N; E,2; 3; 4; 5; 8,,<300m,True,<300m,unfavourable,1,<15m,marginal,rather nice,none,water run-off,few,few,none,none,none,none,none,none,none,
I 136,Naib,,Matheus,13.05.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 140,79,6,72.3853,I 135,SE; S,1; 5; 6; 8; 10; 12,,>300m,True,within shouting distance,unfavourable,9,<15m,marginal,rather nice,none,water run-off,medium quantity,medium quantity,medium quantity,none,none,none,none,none,none,
I 137,Naib,,Matheus,13.05.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 146,2,5,199.5467,I 136,N,1,,>300m,,>300m,� vertical rock,2,<3m,isolated,magnificent,none,water run-off,none,none,none,none,none,none,none,none,none,
I 138,Naib,,Shipahu,13.05.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 145,14,5,299.3979,I 139,N,1,,>300m,True,adjacent,� vertical rock,2,<15m,isolated,poor,none,disintegration of rock; water run-off,few,few,none,none,none,none,none,none,none,
I 139,Naib,,Shipahu,14.05.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 144,13,3,52.4216,I 140,NE,1,,>300m,True,adjacent,� vertical rock,0,<15m,isolated,rather nice,none,water run-off,none,none,none,none,none,none,none,none,none,
I 140,Naib,,Shipahu,14.05.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 143,3,3,52.4216,I 139,SW,1,,>300m,True,within shouting distance,� vertical rock,2,<3m,isolated,magnificent,none,water run-off,none,none,none,none,none,none,none,none,none,
I 141,Naib,,Matheus,04.06.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 149,16,5,194.5948,I 142,E,1; 5; 12,,NA,True,within shouting distance,unfavourable,1,<3m,marginal,poor,none,water run-off,many,many,many,many,none,none,none,none,none,
I 142,Naib,,Matheus,04.06.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 148,4,6,88.8489,I 143,NW,1,True,<300m,True,within shouting distance,� vertical rock,0,<3m,marginal,rather nice,none,water run-off,few,few,few,none,none,none,none,none,none,
I 143,Naib,,Jipsen,July 63,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 147,101,6,88.8489,I 142,SW,5; 6; 7; 9; 10,True,within shouting distance,True,adjacent,spacious,10,>15m,marginal,poor,Pager's Camp,water run-off,medium quantity,medium quantity,medium quantity,medium quantity,none,medium quantity,none,none,none,
I 144,Naib,,Jipsen,July 63,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 150,156,4,33.9477,I 145,SW; NW,1; 2,True,within shouting distance,True,adjacent,� vertical rock,2,>15m,central,rather nice,none,disintegration of rock; water run-off,medium quantity,medium quantity,medium quantity,medium quantity,none,none,none,none,iron arrowhead,
I 145,Naib,,Shipahu,10.06.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 151,5,3,33.9477,I 144,N,1,True,within shouting distance,True,within shouting distance,� vertical rock,0,<15m,marginal,rather nice,none,water run-off,few,few,few,none,none,none,none,none,none,
I 146,Naib,,Shipahu,09.06.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 152,6,4,239.0375,I 145,W,5; 6,,<300m,True,adjacent,unfavourable,11,<15m,isolated,rather nice,none,water run-off,few,few,few,none,none,none,none,none,none,
I 147,Naib,,Shipahu,12.06.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 153,2,5,102.1791,I 148,SE,1,,<300m,True,adjacent,� vertical rock,2,<3m,marginal,rather nice,none,water run-off,few,none,few,none,none,none,none,none,none,
